method,rho,seed,P99_us,P999_us,slo_violation_rate,migration_rate,invalid_migration_ratio,total_finished,total_generated
B0_IdealCFCFS,0.45,47,106,106,0.001219,0,0,1000000,1200600
B0_IdealCFCFS,0.45,59,106,106,0.001299,0,0,1000000,1200572
B1_PowerOf2,0.45,11,106,106,0.000195,0,0,1000000,1200547
B1_PowerOf2,0.45,23,106,106,0.000202,0,0,1000000,1200537
B1_PowerOf2,0.45,37,106,106,0.000213,0,0,1000000,1200596
B1_PowerOf2,0.45,47,106,106,0.00015,0,0,1000000,1200585
B1_PowerOf2,0.45,59,106,106,0.000207,0,0,1000000,1200553
B2_Reactive,0.45,11,106,106,0,0.000305687,0.0926431,1000000,1200574
B2_Reactive,0.45,23,106,106,9e-06,0.000301525,0.0828729,1000000,1200562
B2_Reactive,0.45,37,106,106,0,0.000331524,0.0929648,1000000,1200518
B2_Reactive,0.45,47,106,106,0,0.000292369,0.0911681,1000000,1200536
B2_Reactive,0.45,59,106,106,2e-06,0.000294873,0.124294,1000000,1200517
M0_Proactive,0.45,11,106,106,0,0.000219062,0,1000000,1200574
M0_Proactive,0.45,23,106,106,0,0.000202411,0,1000000,1200529
M0_Proactive,0.45,37,106,106,0,0.000198238,0,1000000,1200580
M0_Proactive,0.45,47,106,106,0,0.000219059,0,1000000,1200591
M0_Proactive,0.45,59,106,106,0,0.0002174,0,1000000,1200550
B0_IdealCFCFS,0.5,11,106,112,0.002943,0,0,1000000,1200641
B0_IdealCFCFS,0.5,23,106,112,0.002993,0,0,1000000,1200655
B0_IdealCFCFS,0.5,37,106,112,0.002792,0,0,1000000,1200615
B0_IdealCFCFS,0.5,47,106,112,0.002881,0,0,1000000,1200656
B0_IdealCFCFS,0.5,59,106,114,0.003084,0,0,1000000,1200655
B1_PowerOf2,0.5,11,106,106,0.000777,0,0,1000000,1200609
B1_PowerOf2,0.5,23,106,106,0.000807,0,0,1000000,1200601
B1_PowerOf2,0.5,37,106,106,0.000826,0,0,1000000,1200666
B1_PowerOf2,0.5,47,106,106,0.000777,0,0,1000000,1200648
B1_PowerOf2,0.5,59,106,106,0.000772,0,0,1000000,1200618
B2_Reactive,0.5,11,106,106,9e-06,0.00125349,0.106977,1000000,1200652
B2_Reactive,0.5,23,106,106,1.7e-05,0.00115351,0.103249,1000000,1200680
B2_Reactive,0.5,37,106,106,5e-06,0.00131765,0.103034,1000000,1200618
B2_Reactive,0.5,47,106,106,8e-06,0.0012585,0.11317,1000000,1200639
B2_Reactive,0.5,59,106,106,0,0.00139595,0.114558,1000000,1200618
M0_Proactive,0.5,11,106,106,0,0.000807079,0,1000000,1200626
M0_Proactive,0.5,23,106,106,0,0.000904538,0,1000000,1200613
M0_Proactive,0.5,37,106,106,0,0.00091951,0,1000000,1200639
M0_Proactive,0.5,47,106,106,0,0.000969484,0,1000000,1200639
M0_Proactive,0.5,59,106,106,0,0.000861217,0,1000000,1200627
B0_IdealCFCFS,0.55,11,106,162,0.00617,0,0,1000000,1200698
B0_IdealCFCFS,0.55,23,106,164,0.00616,0,0,1000000,1200737
B0_IdealCFCFS,0.55,37,106,162,0.005985,0,0,1000000,1200684
B0_IdealCFCFS,0.55,47,106,162,0.006286,0,0,1000000,1200702
B0_IdealCFCFS,0.55,59,106,162,0.00632,0,0,1000000,1200743
B1_PowerOf2,0.55,11,106,110,0.002563,0,0,1000000,1200661
B1_PowerOf2,0.55,23,106,110,0.002749,0,0,1000000,1200679
B1_PowerOf2,0.55,37,106,112,0.002707,0,0,1000000,1200733
B1_PowerOf2,0.55,47,106,110,0.002762,0,0,1000000,1200730
B1_PowerOf2,0.55,59,106,110,0.002681,0,0,1000000,1200680
B2_Reactive,0.55,11,106,108,2.3e-05,0.00454894,0.119919,1000000,1200718
B2_Reactive,0.55,23,106,108,1.2e-05,0.00454898,0.115342,1000000,1200709
B2_Reactive,0.55,37,106,108,2.2e-05,0.0045006,0.110474,1000000,1200729
B2_Reactive,0.55,47,106,108,4.3e-05,0.00437422,0.104912,1000000,1200671
B2_Reactive,0.55,59,106,108,0.000102,0.00416942,0.109269,1000000,1200648
M0_Proactive,0.55,11,106,106,0,0.00284491,0,1000000,1200742
M0_Proactive,0.55,23,106,108,0,0.00294416,0,1000000,1200681
M0_Proactive,0.55,37,106,108,0,0.00314409,0,1000000,1200666
M0_Proactive,0.55,47,106,108,0,0.00304578,0,1000000,1200678
M0_Proactive,0.55,59,106,108,0,0.00300814,0,1000000,1200740
B0_IdealCFCFS,0.6,11,106,188,0.011829,0,0,1000000,1200787
B0_IdealCFCFS,0.6,23,106,188,0.011971,0,0,1000000,1200836
B0_IdealCFCFS,0.6,37,106,188,0.011901,0,0,1000000,1200762
B0_IdealCFCFS,0.6,47,106,188,0.012084,0,0,1000000,1200795
B0_IdealCFCFS,0.6,59,106,188,0.0122,0,0,1000000,1200820
