source,scenario,workload,rho,method,service_estimate_mode,migration_cost_us,w2_hot_core_count,w2_hot_dispatch_prob,target_insert_policy,metric,n,mean,median,ci95_low,ci95_high
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,harmful_actual_count,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,target_induced_miss_actual,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,P99_us,5,305.2,298,266.790752,343.609248
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,P999_us,5,500.4,486,407.374587,593.425413
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,slo_violation_rate,5,0.133949,0.132095,0.122139,0.145758
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,intra_move_rate,5,0.438449,0.437891,0.434177,0.442721
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,beneficial_migration_ratio,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,useless_migration_ratio,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,rescue_per_migration,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,predicted_target_unsafe_accept_count,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,harmful_actual_count,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,target_induced_miss_actual,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,P99_us,5,2604,2390,1926,3282
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,P999_us,5,4440,4270,3139,5741
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,slo_violation_rate,5,0.628709,0.622935,0.610262,0.647155
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,intra_move_rate,5,0.202224,0.203941,0.192942,0.211506
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,beneficial_migration_ratio,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,useless_migration_ratio,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,rescue_per_migration,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,predicted_target_unsafe_accept_count,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,harmful_actual_count,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,target_induced_miss_actual,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,P99_us,5,1574,1390,1114,2034
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,P999_us,5,3366,3710,2101,4631
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,slo_violation_rate,5,0.636112,0.630752,0.614214,0.65801
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,intra_move_rate,5,0.583361,0.587538,0.568615,0.598108
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,beneficial_migration_ratio,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,useless_migration_ratio,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,rescue_per_migration,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,predicted_target_unsafe_accept_count,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,harmful_actual_count,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,target_induced_miss_actual,5,0,0,0,0
estimator_w2,rescue_w2_estimator_class_mean,W2,0.7,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,P99_us,5,2318,2220,1782,2854
estimator_w2,rescue_w2_estimator_class_mean,W2,0.7,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,P999_us,5,4966,5370,3919,6013
estimator_w2,rescue_w2_estimator_class_mean,W2,0.7,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,slo_violation_rate,5,0.109601,0.106947,0.096872,0.12233
estimator_w2,rescue_w2_estimator_class_mean,W2,0.7,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,intra_move_rate,5,0.330558,0.331363,0.326345,0.334771
estimator_w2,rescue_w2_estimator_class_mean,W2,0.7,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,beneficial_migration_ratio,5,0.999991,0.999995,0.999978,1.000005
estimator_w2,rescue_w2_estimator_class_mean,W2,0.7,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,useless_migration_ratio,5,0,0,0,0
estimator_w2,rescue_w2_estimator_class_mean,W2,0.7,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,rescue_per_migration,5,0.999991,0.999995,0.999978,1.000005
estimator_w2,rescue_w2_estimator_class_mean,W2,0.7,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,predicted_target_unsafe_accept_count,5,0,0,0,0
estimator_w2,rescue_w2_estimator_class_mean,W2,0.7,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,harmful_actual_count,5,0,0,0,0
estimator_w2,rescue_w2_estimator_class_mean,W2,0.7,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,target_induced_miss_actual,5,0,0,0,0
estimator_w2,rescue_w2_estimator_class_mean,W2,0.85,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,P99_us,5,10000,10000,10000,10000
estimator_w2,rescue_w2_estimator_class_mean,W2,0.85,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,P999_us,5,10000,10000,10000,10000
estimator_w2,rescue_w2_estimator_class_mean,W2,0.85,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,slo_violation_rate,5,0.694365,0.687816,0.651523,0.737208
