profile,dimension,value,workload,rho,method,seeds,slo_violation_median,slo_goodput_per_us_median,P99_us_median,P999_us_median,migrated_work_rate_median,handoffs_per_request_median,rescue_moves_per_request_median,estimator_mae_us_median,estimator_rmse_us_median,control_operations_per_request_median,configured_control_cost_per_request_us_median,rescue_migrated_fraction_median,rescue_migrated_miss_rate_median,rescue_nonmigrated_miss_rate_median
check-2,check-period-us,2,W3,0.9,L1_WorkStealingPolling,5,0.096,0.44615536472213996,159.0,320.0,0.6153940849265934,0.5812,0.0,12.0604,25.2821,2.8384,0.0,0.0,0.0,0.096
check-2,check-period-us,2,W3,0.9,M0_AltoThreshold,5,0.0918,0.44511316519471866,217.0,387.0,0.23587951001550198,0.387,0.0,12.0878,25.3384,15.2112,0.0,0.0,0.0,0.0918
check-2,check-period-us,2,W3,0.9,M1_RescueSched,5,0.0724,0.454621198012135,222.0,387.0,0.22255041463937086,0.3484,0.3484,12.0695,25.3208,36.5812,0.0,0.3484,0.03125,0.0960327
check-5,check-period-us,5,W2,0.85,L0_RandomCore,5,0.6464,0.15134524349634906,1140.0,1330.0,0.0,0.0,0.0,0.0,0.0,1.0116,0.0,0.0,0.0,0.6464
check-5,check-period-us,5,W2,0.85,L1_WorkStealingPolling,5,0.0674,0.4211218505940746,163.0,229.0,0.7028690731707318,0.6662,0.0,0.0,0.0,3.011,0.0,0.0,0.0,0.0674
check-5,check-period-us,5,W2,0.85,M0_AltoThreshold,5,0.1672,0.3762333297191803,263.0,453.0,0.24123091090476556,0.3418,0.0,0.0,0.0,18.8666,0.0,0.0,0.0,0.1672
check-5,check-period-us,5,W2,0.85,M1_RescueSched,5,0.1754,0.3711338350196233,222.0,307.0,0.2417849756097561,0.3294,0.3294,0.0,0.0,31.5518,0.0,0.3294,0.00364299,0.259767
check-5,check-period-us,5,W3,0.7,L0_RandomCore,5,0.3908,0.23275202692366528,720.0,814.0,0.0,0.0,0.0,12.0693,25.2652,1.0074,0.0,0.0,0.0,0.3908
check-5,check-period-us,5,W3,0.7,L1_WorkStealingPolling,5,0.0076,0.38560152443511464,152.0,320.0,0.6646676764894887,0.6534,0.0,12.0752,25.2549,3.353,0.0,0.0,0.0,0.0076
check-5,check-period-us,5,W3,0.7,M0_AltoThreshold,5,0.0472,0.36871212062120234,198.0,375.0,0.13743382600446769,0.2304,0.0,12.015,25.2682,5.7336,0.0,0.0,0.0,0.0472
check-5,check-period-us,5,W3,0.7,M1_RescueSched,5,0.037,0.3715766099185788,204.0,375.0,0.14363886440317333,0.2416,0.2416,12.0081,25.2762,10.04,0.0,0.2416,0.0118846,0.0450689
check-5,check-period-us,5,W3,0.85,L0_RandomCore,5,0.5952,0.18531234835791655,916.0,1040.0,0.0,0.0,0.0,12.2326,25.47,1.0132,0.0,0.0,0.0,0.5952
check-5,check-period-us,5,W3,0.85,L1_WorkStealingPolling,5,0.0404,0.44783919222837093,159.0,320.0,0.6823701086142027,0.665,0.0,12.0801,25.2969,2.944,0.0,0.0,0.0,0.0404
check-5,check-period-us,5,W3,0.85,M0_AltoThreshold,5,0.1088,0.41259641292974936,209.0,381.0,0.18238776254597405,0.2942,0.0,12.0246,25.2496,9.5828,0.0,0.0,0.0,0.1088
check-5,check-period-us,5,W3,0.85,M1_RescueSched,5,0.094,0.42016417010620044,215.0,388.0,0.18557100890480124,0.2864,0.2864,12.0426,25.3053,17.6276,0.0,0.2864,0.0169033,0.126385
check-5,check-period-us,5,W3,0.9,L0_RandomCore,5,0.67,0.15275823978700706,1070.0,1160.0,0.0,0.0,0.0,12.1575,25.4038,1.0158,0.0,0.0,0.0,0.67
check-5,check-period-us,5,W3,0.9,L1_WorkStealingPolling,5,0.096,0.44615536472213996,159.0,320.0,0.6153940849265934,0.5812,0.0,12.0604,25.2821,2.8384,0.0,0.0,0.0,0.096
check-5,check-period-us,5,W3,0.9,M0_AltoThreshold,5,0.1706,0.40597558468511685,220.0,387.0,0.20123559986625733,0.3086,0.0,12.0871,25.3468,13.6668,0.0,0.0,0.0,0.1706
check-5,check-period-us,5,W3,0.9,M1_RescueSched,5,0.1552,0.4135135928888193,238.0,405.0,0.2023891303687042,0.288,0.288,12.1134,25.3266,25.5952,0.0,0.288,0.0270833,0.210108
control-accounting-unit,control-cost,normalized-1us-per-operation,W2,0.85,L0_RandomCore,5,0.6464,0.15134524349634906,1140.0,1330.0,0.0,0.0,0.0,0.0,0.0,1.0116,1.0116,0.0,0.0,0.6464
control-accounting-unit,control-cost,normalized-1us-per-operation,W2,0.85,L1_WorkStealingPolling,5,0.0674,0.4211218505940746,163.0,229.0,0.7028690731707318,0.6662,0.0,0.0,0.0,3.011,3.011,0.0,0.0,0.0674
control-accounting-unit,control-cost,normalized-1us-per-operation,W2,0.85,M0_AltoThreshold,5,0.0694,0.4207889453598365,195.0,205.0,0.2781080975609756,0.4712,0.0,0.0,0.0,19.675,19.675,0.0,0.0,0.0694
control-accounting-unit,control-cost,normalized-1us-per-operation,W2,0.85,M1_RescueSched,5,0.0518,0.4298238456586975,197.0,292.0,0.25882521934932834,0.4214,0.4214,0.0,0.0,69.2104,69.2104,0.4214,0.00239378,0.0888423
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.7,L0_RandomCore,5,0.3908,0.23275202692366528,720.0,814.0,0.0,0.0,0.0,12.0693,25.2652,1.0074,1.0074,0.0,0.0,0.3908
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.7,L1_WorkStealingPolling,5,0.0076,0.38560152443511464,152.0,320.0,0.6646676764894887,0.6534,0.0,12.0752,25.2549,3.353,3.353,0.0,0.0,0.0076
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.7,M0_AltoThreshold,5,0.0228,0.37934186471663617,199.0,386.0,0.14485394692847808,0.2478,0.0,12.0552,25.3234,14.9016,14.9016,0.0,0.0,0.0228
