profile,dimension,value,workload,rho,baseline,paired_seeds,mean_slo_reduction,ci95_low,ci95_high,relative_slo_reduction,p99_rescue_over_baseline,p999_rescue_over_baseline,rescue_work_rate_median,baseline_work_rate_median,relative_work_reduction,descriptive_only
handoff-0,handoff-us,0,W3,0.9,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1625480976310122,0.1624513639626705,-0.0005954623339692322,1
handoff-2,handoff-us,2,W2,0.85,L1_WorkStealingPolling,1,0.0,0.0,0.0,0.0,1.7102803738317758,1.596774193548387,0.19819881053525915,0.8686151231945625,0.7718220587659924,1
handoff-2,handoff-us,2,W2,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.19819881053525915,0.19819881053525915,0.0,1
handoff-2,handoff-us,2,W3,0.7,L1_WorkStealingPolling,1,-0.024999999999999998,-0.024999999999999998,-0.024999999999999998,-4.999999999999999,1.1813186813186813,1.006993006993007,0.13006281407035178,0.6310678391959799,0.7939004240240479,1
handoff-2,handoff-us,2,W3,0.7,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.13006281407035178,0.13006281407035178,0.0,1
handoff-2,handoff-us,2,W3,0.85,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.3736263736263736,1.0384615384615385,0.1487526920315865,0.7398420674802584,0.7989399379002523,1
handoff-2,handoff-us,2,W3,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1487526920315865,0.14687365398420674,-0.012793567780248871,1
handoff-2,handoff-us,2,W3,0.9,L1_WorkStealingPolling,1,-0.034999999999999996,-0.034999999999999996,-0.034999999999999996,-3.4999999999999996,1.4230769230769231,1.048951048951049,0.1623756281407035,0.7007591529073941,0.7682861116162095,1
handoff-2,handoff-us,2,W3,0.9,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1623756281407035,0.1623756281407035,0.0,1
handoff-5,handoff-us,5,W2,0.85,L1_WorkStealingPolling,1,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.3333333333333333,1.5338983050847457,1.5483870967741935,0.19457943925233642,0.7710110450297366,0.7476308017807556,1
handoff-5,handoff-us,5,W2,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.19457943925233642,0.19457943925233642,0.0,1
handoff-5,handoff-us,5,W3,0.7,L1_WorkStealingPolling,1,-0.015,-0.015,-0.015,-3.0,1.162162162162162,1.006993006993007,0.12754127781765973,0.7189967695620962,0.8226121684867395,1
handoff-5,handoff-us,5,W3,0.7,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.12754127781765973,0.12754127781765973,0.0,1
handoff-5,handoff-us,5,W3,0.85,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-1.0,1.3513513513513513,1.0384615384615385,0.15385534816941854,0.7468072505384064,0.7939825195075471,1
handoff-5,handoff-us,5,W3,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.15385534816941854,0.14907519741564967,-0.03206536591355902,1
handoff-5,handoff-us,5,W3,0.9,L1_WorkStealingPolling,1,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.4166666666666666,1.377659574468085,1.048951048951049,0.16700143575017948,0.6686486001435751,0.7502403568715762,1
handoff-5,handoff-us,5,W3,0.9,M0_AltoThreshold,1,0.0049999999999999975,0.0049999999999999975,0.0049999999999999975,0.12499999999999993,1.0,1.0,0.16700143575017948,0.16302835606604452,-0.02437048241181694,1
placement-flow-uniform,placement,flow-affine-uniform,W2,0.85,L1_WorkStealingPolling,1,0.02,0.02,0.02,1.0,1.7714285714285714,1.6695652173913043,0.1389124893797791,0.772965165675446,0.8202862230429335,1
placement-flow-uniform,placement,flow-affine-uniform,W2,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,,1.0,1.0,0.1389124893797791,0.1389124893797791,0.0,1
placement-flow-uniform,placement,flow-affine-uniform,W3,0.7,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.2375690607734806,1.0,0.12224210337401292,0.617194903086863,0.8019392208804278,1
placement-flow-uniform,placement,flow-affine-uniform,W3,0.7,M0_AltoThreshold,1,-0.005000000000000001,-0.005000000000000001,-0.005000000000000001,-0.25000000000000006,1.0,1.0,0.12224210337401292,0.11996410624551329,-0.018988989288492464,1
placement-flow-uniform,placement,flow-affine-uniform,W3,0.85,L1_WorkStealingPolling,1,-0.024999999999999998,-0.024999999999999998,-0.024999999999999998,-4.999999999999999,1.3204419889502763,0.9965156794425087,0.14763585786073222,0.7112365398420675,0.7924236880552913,1
placement-flow-uniform,placement,flow-affine-uniform,W3,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.14763585786073222,0.14763585786073222,0.0,1
placement-flow-uniform,placement,flow-affine-uniform,W3,0.9,L1_WorkStealingPolling,1,-0.024999999999999998,-0.024999999999999998,-0.024999999999999998,-4.999999999999999,1.1657458563535912,1.0,0.16478140703517588,0.7740631730078966,0.7871215001808453,1
placement-flow-uniform,placement,flow-affine-uniform,W3,0.9,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.16478140703517588,0.16478140703517588,0.0,1
placement-flow-zipf,placement,flow-affine-zipf-1.1,W2,0.85,L1_WorkStealingPolling,1,0.01,0.01,0.01,1.0,1.8846153846153846,1.7543859649122806,0.26110450297366183,0.7411384876805438,0.6476980924431401,1
placement-flow-zipf,placement,flow-affine-zipf-1.1,W2,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,,1.0,1.0,0.26110450297366183,0.26110450297366183,0.0,1
placement-flow-zipf,placement,flow-affine-zipf-1.1,W3,0.7,L1_WorkStealingPolling,1,-0.015,-0.015,-0.015,-3.0,1.2277777777777779,1.3937282229965158,0.18314967695620962,0.6235409188801149,0.706274806655595,1
placement-flow-zipf,placement,flow-affine-zipf-1.1,W3,0.7,M0_AltoThreshold,1,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.20000000000000004,1.0,1.0,0.18314967695620962,0.181132447954056,-0.011136762214273732,1
